O,D,weight
2301109,2312403,238.0
2301109,2312502,724.0
2301109,2312700,69.0
2301109,2312908,669.0
2301109,2313104,1897.0
2301109,2313203,35.0
2301109,2313302,134.0
2301109,2313401,351.0
2301109,2313500,40.0
2301109,2313609,65.0
2301109,2313807,17.0
2301109,2313955,115.0
2301109,2314102,54.0
2301208,2300150,158.0
2301208,2300200,1.0
2301208,2301000,415.0
2301208,2301109,6.0
2301208,2301406,139.0
2301208,2301901,7.0
2301208,2301950,123.0
2301208,2302107,1320.0
2301208,2302206,22.0
2301208,2302503,16.0
2301208,2302909,997.0
2301208,2303709,364.0
2301208,2304103,25.0
2301208,2304202,21.0
2301208,2304285,882.0
2301208,2304350,4.0
2301208,2304400,6054.0
2301208,2304954,112.0
2301208,2305100,16.0
2301208,2305233,1736.0
2301208,2306108,5.0
2301208,2306256,262.0
2301208,2306405,1.0
2301208,2306504,245.0
2301208,2307007,17.0
2301208,2307304,30.0
2301208,2307601,13.0
2301208,2307650,3899.0
2301208,2307700,133.0
2301208,2308708,420.0
2301208,2309102,34.0
2301208,2309458,205.0
2301208,2309607,104.0
2301208,2309706,77.0
2301208,2309805,56.0
2301208,2310100,13.0
2301208,2310258,348.0
2301208,2311306,258.0
2301208,2311405,8.0
2301208,2311603,643.0
2301208,2312908,159.0
2301257,2301000,105.0
2301257,2302404,32.0
2301257,2303501,1.0
2301257,2303659,10.0
2301257,2303709,22.0
2301257,2304103,549.0
2301257,2304285,98.0
2301257,2304350,168.0
2301257,2304400,1166.0
2301257,2304905,16.0
2301257,2305605,23.0
2301257,2305654,74.0
2301257,2305902,233.0
2301257,2307304,159.0
2301257,2307650,811.0
2301257,2308609,187.0
2301257,2309300,458.0
2301257,2309409,140.0
2301257,2309458,6.0
2301257,2311009,208.0
2301257,2311306,50.0
2301257,2312304,49.0
2301257,2312908,369.0
2301257,2313203,54.0
2301257,2313302,37.0
2301257,2313401,58.0
2301307,2300309,86.0
2301307,2301000,248.0
2301307,2301257,5.0
2301307,2301604,253.0
2301307,2301901,607.0
2301307,2302206,2.0
2301307,2302503,7.0
2301307,2302701,304.0
2301307,2303303,1.0
2301307,2303709,47.0
2301307,2304202,656.0
2301307,2304285,116.0
2301307,2304400,1224.0
2301307,2305506,158.0
2301307,2307304,1997.0
2301307,2307502,114.0
2301307,2307650,887.0
2301307,2309201,97.0
2301307,2309409,2.0
2301307,2311207,167.0
2301307,2311231,8.0
2301307,2311355,2.0
2301307,2311959,1492.0
2301307,2312106,245.0
2301307,2313104,18.0
2301406,2301000,229.0
2301406,2301109,17.0
2301406,2301208,91.0
2301406,2301851,188.0
2301406,2301950,76.0
2301406,2302107,429.0
2301406,2302503,94.0
2301406,2302800,22.0
2301406,2302909,676.0
2301406,2303709,175.0
2301406,2303956,2.0
2301406,2304103,27.0
2301406,2304285,559.0
2301406,2304400,3558.0
2301406,2305001,3.0
2301406,2305100,5.0
2301406,2305266,2.0
2301406,2306504,34.0
2301406,2306553,82.0
2301406,2307601,41.0
2301406,2307650,1979.0
2301406,2308708,345.0
2301406,2309102,241.0
2301406,2309458,20.0
2301406,2309607,76.0
2301406,2309706,51.0
2301406,2309805,174.0
2301406,2310100,36.0
2301406,2311306,668.0
2301406,2311405,237.0
2301406,2311603,91.0
2301406,2312908,179.0
2301505,2300408,345.0
2301505,2300804,34.0
2301505,2301000,132.0
2301505,2301604,33.0
2301505,2301901,166.0
2301505,2302404,66.0
2301505,2303600,177.0
2301505,2304202,86.0
2301505,2304285,28.0
2301505,2304400,411.0
2301505,2305001,1.0
2301505,2305506,218.0
2301505,2307304,919.0
2301505,2307650,602.0
2301505,2308500,25.0
2301505,2309458,1.0
2301505,2310308,42.0
2301505,2311900,108.0
2301505,2312106,2.0
2301505,2313302,817.0
2301505,2313401,13.0
2301604,2300309,126.0
2301604,2300408,1095.0
2301604,2300606,322.0
2301604,2300804,2678.0
2301604,2301000,396.0
2301604,2301307,92.0
2301604,2301505,3.0
